source,target,score
BRCA1,MLH1,0.994
BRCA1,MRE11,0.999
BRCA1,MSH2,0.994
BRCA1,MSH6,0.996
BRCA1,MYC,0.999
BRCA1,NBN,0.993
BRCA1,PALB2,0.999
BRCA1,PARP1,0.974
BRCA1,PMS2,0.95
BRCA1,POLD1,0.937
BRCA1,POLE,0.919
BRCA1,POU2F1,0.919
BRCA1,RAD50,0.999
BRCA1,RAD51C,0.98
BRCA1,RAD51D,0.953
BRCA1,RFC4,0.94
BRCA1,SLX4,0.905
BRCA1,SMARCA4,0.983
BRCA1,STAT1,0.958
BRCA1,TP53,0.999
BRCA1,WRN,0.983
BRCA1,XRCC2,0.954
BRCA1,XRCC3,0.953
BRCA2,BARD1,0.999
BRCA2,BLM,0.935
BRCA2,BRIP1,0.998
BRCA2,CHEK2,0.985
BRCA2,FANCA,0.968
BRCA2,FANCB,0.91
BRCA2,FANCC,0.919
BRCA2,MRE11,0.967
BRCA2,NBN,0.901
BRCA2,PALB2,0.999
BRCA2,PMS2,0.947
BRCA2,RAD51C,0.999
BRCA2,RAD51D,0.983
BRCA2,XRCC2,0.982
BRCA2,XRCC3,0.999
BRIP1,BARD1,0.999
BRIP1,BLM,0.95
BRIP1,CLSPN,0.904
BRIP1,FANCA,0.907
BRIP1,FANCB,0.921
BRIP1,FANCC,0.913
BRIP1,MRE11,0.998
BRIP1,NBN,0.998
BRIP1,PALB2,0.998
BRIP1,PMS2,0.993
BRIP1,RAD51C,0.941
BRIP1,WRN,0.915
CASP8,BIRC2,0.971
CASP8,CASP7,0.992
CASP8,FAS,0.999
CAV1,CAVIN1,0.999
CAV1,ESR2,0.971
CCNB1,ANAPC5,0.936
CCNB1,CDC27,0.999
CCNB1,CDKN1B,0.972
CCNB1,ECT2,0.911
CCND2,CDKN2B,0.962
CCR5,ENPEP,0.93
CDH1,SLC6A3,0.901
CDH13,ADIPOR1,0.904
CDK1,CCNB1,0.999
CDK1,CDC27,0.942
CDK1,CDKN1B,0.978
CDK1,ECT2,0.963
CDK1,HMMR,0.931
CDK1,MKI67,0.939
CDK1,SOX2,0.961
CDKN1B,AKT1,0.996
CDKN1B,CCND2,0.999
CDKN1B,CDKN2A,0.93
CDKN1B,CDKN2C,0.956
CDKN2A,CCND2,0.99
CDKN2A,CDKN2B,0.951
CDKN2A,KRAS,0.992
CDKN2A,PTEN,0.923
CDKN2C,CCND2,0.963
CHEK2,BARD1,0.937
CHEK2,MRE11,0.9
CHEK2,NBN,0.935
CHEK2,PALB2,0.921
CHEK2,PPM1D,0.918
CLSPN,ATRIP,0.974
COMT,CYP1B1,0.971
COMT,MAOA,0.996
CSNK1D,PER1,0.984
CTSD,AGT,0.909
CYP19A1,CYP17A1,0.971
CYP19A1,ESR2,0.925
CYP1A1,COMT,0.985
CYP1A1,CYP17A1,0.925
CYP1A1,CYP19A1,0.953
CYP1A1,CYP1A2,0.95
CYP1A1,CYP1B1,0.937
CYP1A1,GSTM1,0.991
CYP1A1,GSTP1,0.974
CYP1A1,HSD11B1,0.931
CYP1A1,UGT1A1,0.985
CYP1A2,CYP17A1,0.929
CYP1A2,CYP1B1,0.936
CYP1A2,CYP2C19,0.951
CYP1A2,GSTM1,0.96
CYP1A2,GSTP1,0.96
CYP1A2,XDH,0.948
CYP1B1,GSTM1,0.962
CYP1B1,GSTP1,0.973
DVL3,AXIN2,0.967
DVL3,PRICKLE3,0.959
EIF3H,EIF3M,0.999
EIF4A2,PDCD4,0.999
EIF5,EIF3H,0.97
EIF5,EIF4A2,0.988
EIF5,RPS9,0.943
ENG,PTPRC,0.91
EP300,AKT1,0.954
EP300,APEX1,0.944
EP300,AR,0.952
EP300,ATF2,0.976
EP300,ESR1,0.997
EP300,FOXA1,0.933
EP300,GATA3,0.959
EP300,H4C1,0.905
EP300,MYC,0.999
EP300,MYOD1,0.991
EP300,NCOA6,0.911
EP300,NFKB1,0.998
EP300,POU2F1,0.917
EP300,RUNX3,0.948
EP300,SMARCA4,0.969
EP300,STAT1,0.998
EP300,STAT3,0.999
EP300,TCF7L1,0.948
EP300,TCF7L2,0.975
EP300,TP73,0.927
ERCC1,ATM,0.975
ERCC1,BRCA1,0.93
ERCC1,ERCC2,0.996
ERCC1,ERCC3,0.994
ERCC1,ERCC6,0.926
ERCC1,FANCD2,0.951
ERCC1,FANCI,0.907
ERCC1,FANCM,0.933
ERCC1,MSH2,0.992
ERCC1,MSH6,0.974
ERCC1,POLD1,0.953
ERCC1,RAD51,0.908
ERCC1,SLX4,0.999
ERCC2,GTF2A1,0.991
ERCC2,MED14,0.943
ERCC2,POLR2F,0.972
ERCC3,ERCC2,0.999
ERCC3,GTF2A1,0.997
ERCC3,MED14,0.963
ERCC3,MYC,0.942
ERCC3,POLR2F,0.985
ERCC3,TP53,0.908
ERCC6,AFF1,0.91
ERCC6,ERCC2,0.973
ERCC6,ERCC3,0.976
ERCC6,POLR2F,0.958
ESR1,AKT1,0.913
ESR1,AR,0.981
ESR1,BCAR1,0.941
ESR1,CAV1,0.998
ESR1,CYP19A1,0.927
ESR1,EBAG9,0.969
ESR1,ESR2,0.998
ESR1,FN1,0.969
ESR1,GATA3,0.982
ESR1,MYC,0.982
ESR1,NCOA6,0.913
ESR1,NFKB1,0.957
ESR1,PIK3CA,0.941
ESR1,STAT1,0.915
ESR1,STAT3,0.93
F10,F5,0.995
FABP4,ADIPOQ,0.942
FANCA,ATRIP,0.955
FANCA,FANCB,0.999
FANCA,FANCC,0.999
FANCC,FANCB,0.999
FANCD2,ATM,0.989
FANCD2,BLM,0.933
FANCD2,BRCA2,0.999
FANCD2,BRIP1,0.997
FANCD2,FANCA,0.999
FANCD2,FANCB,0.999
FANCD2,FANCC,0.999
FANCD2,MLH1,0.971
FANCD2,MSH2,0.957
FANCD2,PALB2,0.991
FANCD2,RAD51C,0.934
FANCD2,SLX4,0.992
FANCD2,XRCC3,0.926
FANCI,ATM,0.946
FANCI,ATRIP,0.956
FANCI,BRCA1,0.993
FANCI,BRCA2,0.996
FANCI,BRIP1,0.994
FANCI,FANCA,0.999
FANCI,FANCB,0.999
FANCI,FANCC,0.999
FANCI,FANCD2,0.999
FANCI,FANCM,0.998
FANCI,PALB2,0.988
FANCI,RAD51,0.949
FANCI,RAD51C,0.944
FANCI,SLX4,0.967
FANCM,ATRIP,0.955
FANCM,BLM,0.999
FANCM,BRCA2,0.937
FANCM,BRIP1,0.969
FANCM,FANCA,0.999
FANCM,FANCB,0.999
FANCM,FANCC,0.999
FANCM,FANCD2,0.997
FANCM,MSH6,0.927
FANCM,PALB2,0.94
FANCM,RAD51C,0.96
FANCM,RAD51D,0.979
FANCM,RECQL4,0.991
FANCM,RECQL5,0.991
FANCM,SLX4,0.938
FANCM,WRN,0.994
FGFR2,GAB1,0.918
FH,ASL,0.902
FN1,BGN,0.995
FN1,IGFBP3,0.967
FN1,IL6,0.9
FN1,ITGA9,0.945
FN1,MMP3,0.936
FN1,STAT3,0.988
FN1,TGFB1,0.969
FN1,TLR2,0.917
FN1,TLR4,0.995
FN1,TNF,0.97
FN1,VWF,0.998
FOXA1,AR,0.996
FOXA1,ESR1,0.998
FOXA1,GATA3,0.997
GFRAL,RET,0.998
GRB2,BCAR1,0.982
GRB2,FGFR2,0.993
GRB2,GAB1,0.999
GRB2,MUC1,0.921
GRB2,RET,0.952
H4C1,H2AC21,0.961
HDAC7,EP300,0.94
HDAC7,FOXA1,0.976
HMMR,BRCA2,0.929
HMMR,CCNB1,0.942
HSD17B8,CYP17A1,0.935
HSD17B8,CYP19A1,0.932
HSD17B8,CYP1A1,0.926
HSD17B8,CYP1B1,0.933
HSD17B8,OXSM,0.981
IFNB1,IFNG,0.95
IFNB1,TLR2,0.91
IFNB1,TLR4,0.998
IFNG,CCR5,0.92
IFNG,CTLA4,0.951
IFNG,IFNA2,0.968
IFNG,IL18,0.949
IFNG,PTPRC,0.924
IFNG,STAT3,0.907
IFNG,STAT4,0.981
IFNG,TLR2,0.918
IFNG,TLR4,0.946
IKBKB,AKT1,0.99
IKBKB,KEAP1,0.997
IKBKB,MAP3K1,0.982
IKBKB,MUC1,0.941
IKBKB,NLRC5,0.989
IKBKB,PTEN,0.952
IL18,TLR4,0.908
IL1B,CASP8,0.943
IL1B,IFNA2,0.913
IL1B,IFNG,0.998
IL1B,IL18,0.99
IL1B,IL6,0.996
IL1B,STAT3,0.938
IL1B,TLR2,0.969
IL1B,TLR4,0.986
IL1B,TNF,0.998
IL6,IFNA2,0.903
IL6,IFNB1,0.922
IL6,IFNG,0.983
IL6,IL18,0.97
IL6,STAT1,0.972
IL6,STAT3,0.984
IL6,TLR2,0.942
IL6,TLR4,0.973
KDM4B,ESR1,0.922
KEAP1,KBTBD8,0.916
KRAS,FGFR2,0.973
KRAS,GRB2,0.931
KRAS,LZTR1,0.921
KRAS,NF1,0.996
KRAS,PTEN,0.936
KRAS,RASGRF2,0.946
KRAS,RASSF1,0.987
KRAS,RGL1,0.997
KRAS,RPS6KA3,0.95
LIPE,FABP4,0.999
LIPE,PRKAA1,0.927
LIPE,PRKAA2,0.926
LZTR1,KBTBD8,0.912
LZTR1,KEAP1,0.909
MAOA,CYP2C19,0.948
MAP3K1,BCAR1,0.909
MAP3K1,KRAS,0.953
MED14,GTF2A1,0.964
MED14,POLR2F,0.989
MLH1,BLM,0.999
MLH1,BRCA2,0.954
MLH1,BRIP1,0.999
MLH1,PMS2,0.999
MMP10,MMP3,0.973
MMP3,MMP1,0.985
MRE11,RAD50,0.999
MRE11,RAD51D,0.946
MRE11,XRCC2,0.912
MSH2,ARID1A,0.974
MSH2,BLM,0.907
MSH2,BRCA2,0.968
MSH2,CHEK2,0.934
MSH2,MLH1,0.999
MSH2,MUTYH,0.946
MSH2,PMS2,0.999
MSH2,POLE,0.947
MSH2,RFC4,0.935
MSH2,SLX4,0.972
MSH2,TP53,0.974
MSH6,ATM,0.999
MSH6,BARD1,0.925
MSH6,BLM,0.972
MSH6,BRCA2,0.967
MSH6,MLH1,0.999
MSH6,MSH2,0.999
MSH6,MUTYH,0.982
MSH6,NBN,0.907
MSH6,PMS2,0.999
MSH6,POLE,0.957
MSH6,RFC4,0.928
MUTYH,MLH1,0.92
MUTYH,NTHL1,0.901
MUTYH,OGG1,0.974
MUTYH,PMS2,0.904
MYC,AKT1,0.928
MYC,CDKN2A,0.998
MYC,CDKN2B,0.966
MYC,FBXW7,0.999
MYC,KDM5B,0.966
MYC,NFKB1,0.917
MYC,PTEN,0.908
MYC,SMARCA4,0.974
MYC,SOX2,0.958
MYC,STAT3,0.985
MYOD1,SMARCA4,0.957
NBN,BARD1,0.998
NBN,MRE11,0.999
NBN,RAD50,0.999
NBN,WRN,0.927
NDUFA2,NDUFA3,0.999
NDUFA2,NDUFA8,0.999
NDUFA2,PALB2,0.938
NDUFA8,NDUFA3,0.999
NF1,NF2,0.97
NFKB1,IFNB1,0.928
NFKB1,IFNG,0.932
NFKB1,IKBKB,0.999
NFKB1,IL18,0.979
NFKB1,IL1B,0.996
NFKB1,IL6,0.994
NFKB1,PPP2R2B,0.905
NFKB1,RAC2,0.938
NFKB1,STAT1,0.926
NFKB1,STAT3,0.962
NFKB1,TLR2,0.992
NFKB1,TLR4,0.993
NFKB1,TNF,0.999
NFKB1,TNFAIP3,0.908
NOS2,ASL,0.954
NOS3,ASL,0.969
NOS3,CAV1,0.999
NOS3,NOS2,0.912
OGG1,NTHL1,0.987
PAK1,FLNB,0.921
PAK1,NF2,0.914
PAK1,ROBO1,0.912
PALB2,FANCA,0.9
PALB2,FANCC,0.908
PALB2,KEAP1,0.996
PALB2,NDUFA3,0.923
PALB2,NDUFA8,0.945
PALB2,OXSM,0.955
PALB2,RAD51C,0.999
PALB2,RAD51D,0.949
PALB2,XRCC3,0.91
PARP1,BRCA2,0.985
PARP1,CASP7,0.995
PARP1,SMARCA4,0.996
PARP1,TIMELESS,0.99
PARP1,TOP1,0.936
PARP1,WRN,0.915
PER2,CSNK1D,0.996
PER2,PER1,0.997
PER2,TIMELESS,0.949
PIK3CA,FGFR2,0.908
PIK3CA,GAB1,0.92
PIK3CA,GRB2,0.924
PIK3CA,KRAS,0.998
PIK3CA,PTEN,0.995
PLD2,CDS1,0.951
PMS2,PALB2,0.947
POLD1,ATM,0.96
POLD1,MLH1,0.944
POLD1,MSH2,0.994
POLD1,MSH6,0.995
POLD1,PMS2,0.961
POLD1,POLE,0.999
POLD1,RFC4,0.916
POLD1,WRN,0.901
POLE,CLSPN,0.922
POLE,TIMELESS,0.98
POLR2F,GTF2A1,0.946
POU2F1,SOX2,0.973
PRKAA1,STK11,0.986
PRKAA2,PRKAA1,0.984
PRKAA2,STK11,0.978
PTEN,CAV1,0.912
PTEN,CDH1,0.93
PTEN,NEDD4,0.984
PTEN,PLCB1,0.916
PTEN,STK11,0.979
PTK2B,BCAR1,0.998
PTK2B,GRB2,0.951
PTK2B,RAC2,0.936
PTPN13,FAS,0.97
RAC2,ARHGEF4,0.941
RAC2,MAP3K1,0.929
RAC2,PAK1,0.967
RAC2,PIK3CA,0.947
RAC2,PLD2,0.939
RAC2,PLXNB1,0.966
RAD51,ATM,0.995
RAD51,BARD1,0.999
RAD51,BLM,0.998
RAD51,BRCA1,0.999
RAD51,BRCA2,0.999
RAD51,BRIP1,0.951
RAD51,CHEK2,0.93
RAD51,FANCA,0.936
RAD51,FANCD2,0.998
RAD51,FANCM,0.973
RAD51,MRE11,0.984
RAD51,MSH2,0.944
RAD51,NBN,0.925
RAD51,PALB2,0.999
RAD51,POLD1,0.921
RAD51,RAD51C,0.996
RAD51,RAD54L,0.992
RAD51,RECQL4,0.982
RAD51,RECQL5,0.947
RAD51,TP53,0.999
RAD51,WRN,0.993
RAD51,XRCC2,0.981
RAD51,XRCC3,0.998
RAD51C,MRE11,0.933
RAD51C,RAD51D,0.999
RAD51C,XRCC2,0.999
RAD51C,XRCC3,0.999
RAD51D,XRCC2,0.999
RASSF1,CDH13,0.906
RB1CC1,PIK3R4,0.986
RB1CC1,PTK2B,0.977
RB1CC1,TP53,0.984
RELB,NFKB1,0.999
RFC4,NBN,0.906
ROBO1,SRGAP3,0.979
RPS9,EIF3H,0.933
RPS9,EIF3M,0.949
RPS9,POLR2F,0.913
RPS9,RRP9,0.994
RPS9,UTP20,0.995
RRP9,POP1,0.914
RRP9,UTP20,0.998
RUNX3,CBFB,0.999
SCNN1B,NEDD4,0.996
SLC6A3,COMT,0.917
SLX4,BRIP1,0.907
SLX4,FANCA,0.935
SLX4,FANCB,0.901
SLX4,GEN1,0.908
SMARCA4,ARID1B,0.999
SMARCA4,BCL11A,0.956
SMARCA4,FANCA,0.925
SMARCA4,H4C1,0.929
SMARCA4,KDM3A,0.972
SMARCA4,STK11,0.92
SRSF1,TOP1,0.912
STAT1,AKT1,0.961
STAT1,DTX3L,0.926
STAT1,IFNA2,0.912
STAT1,IFNB1,0.954
STAT1,IFNG,0.986
STAT1,IRF8,0.904
STAT1,STAT3,0.999
STAT1,STAT4,0.994
STAT3,AKT1,0.966
STAT3,AR,0.907
STAT3,SOX2,0.903
STAT3,STAT4,0.973
SULT1E1,CYP19A1,0.959
SULT1E1,CYP1A1,0.948
SULT1E1,HSD17B8,0.921
SULT1E1,UGT1A1,0.956
SULT1E1,UGT1A9,0.943
TCF7L1,TCF7L2,0.962
TGFB1,BGN,0.978
TGFB1,ENG,0.998
TGFB1,IL1B,0.932
TGFB1,IL6,0.96
TGFB1,INHBE,0.905
TGFB1,TNF,0.941
TICAM1,CASP8,0.977
TIMELESS,CLSPN,0.999
TLR2,NOD2,0.983
TLR2,TICAM1,0.975
TLR2,TLR4,0.999
TLR4,CAV1,0.962
TLR4,IKBKB,0.903
TLR4,PIK3CA,0.928
TLR4,TICAM1,0.999
TNF,AKT1,0.907
TNF,BGN,0.94
TNF,BIRC2,0.999
TNF,CASP8,0.999
TNF,FAS,0.997
TNF,IFNB1,0.919
TNF,IFNG,0.991
TNF,IKBKB,0.999
TNF,IL18,0.961
TNF,IL6,0.994
TNF,LTA,0.984
TNF,STAT3,0.939
TNF,TLR2,0.951
TNF,TLR4,0.969
TNF,TNFAIP3,0.999
TNFAIP3,BIRC2,0.931
TNFAIP3,TAX1BP1,0.996
TP53,AKT1,0.994
TP53,APEX1,0.944
TP53,AR,0.905
TP53,ARID1A,0.961
TP53,AURKA,0.998
TP53,BARD1,0.982
TP53,BCL2L1,0.999
TP53,BLM,0.932
TP53,BRCA2,0.995
TP53,CASP8,0.991
TP53,CCNB1,0.914
TP53,CDK1,0.962
TP53,CDKN1B,0.991
TP53,CDKN2A,0.999
TP53,CDKN2C,0.957
TP53,CHEK2,0.999
TP53,EHMT1,0.92
TP53,EP300,0.999
TP53,ESR1,0.992
TP53,FBXW7,0.96
TP53,IGFBP3,0.901
TP53,IKBKB,0.933
TP53,KRAS,0.949
TP53,MLH1,0.965
TP53,MRE11,0.905
TP53,MUC1,0.966
TP53,MYC,0.997
TP53,NFKB1,0.989
TP53,PARP1,0.972
TP53,PIK3CA,0.941
TP53,PMS2,0.936
TP53,PTEN,0.999
TP53,RNF20,0.929
TP53,RUNX3,0.936
TP53,SMARCA4,0.993
TP53,SREBF2,0.978
TP53,STAT3,0.994
TP53,STK11,0.97
TP53,TOP1,0.947
TP53,TP53I3,0.903
TP53,TP73,0.985
TP53,TWIST1,0.967
TP53,WRN,0.963
TWIST1,G3BP2,0.96
UGT1A1,CYP19A1,0.94
UGT1A1,CYP1A2,0.957
UGT1A1,CYP1B1,0.963
UGT1A1,SLC35A2,0.984
UGT1A9,CYP19A1,0.926
UGT1A9,CYP1A1,0.966
UGT1A9,CYP1A2,0.915
UGT1A9,CYP1B1,0.944
UGT1A9,SLC35A2,0.979
UGT1A9,UGT1A1,0.998
VWF,F10,0.978
WRN,MRE11,0.945
WRN,XRCC3,0.964
XRCC3,RAD51D,0.978
XRCC3,RECQL4,0.905
XRCC3,XRCC2,0.999
